HTTP/1.1 200 OK
Date: Tue, 01 Apr 2014 03:19:30 GMT
P3P: policyref="http://info.yahoo.com/w3c/p3p.xml", CP="CAO DSP COR CUR ADM DEV TAI PSA PSD IVAi IVDi CONi TELo OTPi OUR DELi SAMi OTRi UNRi PUBi IND PHY ONL UNI PUR FIN COM NAV INT DEM CNT STA POL HEA PRE LOC GOV"
Content-Type: text/csv
Cache-Control: private
Vary: Accept-Encoding,X-Ssl
Age: 0
Via: http/1.1 media-border484.global.media.gq1.yahoo.com (ApacheTrafficServer/4.0.2 [cMsSf ]), http/1.1 r09.ycpi.sp2.yahoo.net (ApacheTrafficServer/4.0.2 [cMsSf ])
Server: ATS
Transfer-Encoding: chunked
Connection: keep-alive

Date,Open,High,Low,Close,Volume,Adj Close
2014-03-31,0.69,0.72,0.66,0.70,1002000,0.70
2014-03-28,0.65,0.69,0.65,0.67,531000,0.67
2014-03-27,0.67,0.67,0.63,0.65,790800,0.65
2014-03-26,0.68,0.69,0.68,0.68,768000,0.68
2014-03-25,0.68,0.69,0.68,0.69,492000,0.69
2014-03-24,0.71,0.71,0.67,0.70,1296000,0.70
2014-03-21,0.70,0.70,0.68,0.68,510000,0.68
2014-03-20,0.71,0.71,0.68,0.70,1332000,0.70
2014-03-19,0.72,0.74,0.71,0.71,662400,0.71
2014-03-18,0.73,0.74,0.72,0.72,942000,0.72
2014-03-17,0.72,0.72,0.68,0.71,804200,0.71
2014-03-14,0.68,0.73,0.68,0.72,741000,0.72
2014-03-13,0.70,0.71,0.69,0.69,1098000,0.69
2014-03-12,0.74,0.74,0.69,0.70,1684000,0.70
2014-03-11,0.72,0.73,0.71,0.73,456000,0.73
2014-03-10,0.73,0.73,0.71,0.71,18000,0.71
2014-03-07,0.74,0.75,0.73,0.74,1140000,0.74
2014-03-06,0.72,0.75,0.72,0.74,2353200,0.74
2014-03-05,0.71,0.72,0.69,0.71,1590000,0.71
2014-03-04,0.70,0.71,0.69,0.71,1132000,0.71
2014-03-03,0.72,0.72,0.71,0.71,738000,0.71
2014-02-28,0.72,0.75,0.72,0.74,4425800,0.74
2014-02-27,0.71,0.72,0.69,0.72,1620000,0.72
2014-02-26,0.68,0.72,0.68,0.70,2766000,0.70
2014-02-25,0.68,0.68,0.67,0.68,1122000,0.68
2014-02-24,0.68,0.68,0.66,0.68,1032600,0.68
2014-02-21,0.69,0.70,0.68,0.68,1404000,0.68
2014-02-20,0.69,0.70,0.66,0.69,3474000,0.69
2014-02-19,0.70,0.71,0.69,0.69,1938000,0.69
2014-02-18,0.74,0.75,0.68,0.69,10986000,0.69
2014-02-17,0.70,0.79,0.70,0.73,8694600,0.73
2014-02-14,0.71,0.73,0.69,0.70,1867200,0.70
2014-02-13,0.71,0.74,0.71,0.71,3630000,0.71
2014-02-12,0.70,0.76,0.69,0.71,5482800,0.71
2014-02-11,0.71,0.72,0.69,0.69,2346000,0.69
2014-02-10,0.71,0.71,0.69,0.69,1885200,0.69
2014-02-07,0.72,0.73,0.68,0.69,3204000,0.69
2014-02-06,0.71,0.72,0.69,0.69,2028000,0.69
2014-02-05,0.73,0.74,0.69,0.69,1314000,0.69
2014-02-04,0.81,0.84,0.70,0.72,9186000,0.72
2014-02-03,0.81,0.81,0.81,0.81,000,0.81
2014-01-31,0.81,0.81,0.81,0.81,000,0.81
2014-01-30,0.82,0.82,0.81,0.81,60000,0.81
2014-01-29,0.86,0.92,0.83,0.85,1351800,0.85
2014-01-28,0.81,0.87,0.81,0.85,1578000,0.85
2014-01-27,0.82,0.82,0.70,0.79,2100000,0.79
2014-01-24,0.90,0.91,0.82,0.83,1086000,0.83
2014-01-23,0.87,0.90,0.87,0.90,48000,0.90
2014-01-22,0.92,0.92,0.88,0.88,132000,0.88
2014-01-21,0.93,0.93,0.91,0.93,162000,0.93
2014-01-20,0.87,0.99,0.86,0.90,4792400,0.90
2014-01-17,0.83,0.86,0.83,0.86,1824000,0.86
2014-01-16,0.86,0.87,0.83,0.84,792000,0.84
2014-01-15,0.83,0.87,0.83,0.86,800000,0.86
2014-01-14,0.84,0.84,0.81,0.83,1134000,0.83
2014-01-13,0.85,0.85,0.82,0.84,493200,0.84
2014-01-10,0.83,0.84,0.83,0.83,492000,0.83
2014-01-09,0.87,0.87,0.79,0.83,2448600,0.83
2014-01-08,0.88,0.88,0.87,0.88,306000,0.88
2014-01-07,0.90,0.90,0.85,0.87,1620000,0.87
2014-01-06,0.90,0.90,0.87,0.90,1008100,0.90
2014-01-03,0.93,0.93,0.89,0.93,698300,0.93
2014-01-02,0.97,0.97,0.90,0.93,1428000,0.93
2014-01-01,0.98,0.98,0.98,0.98,000,0.98
2013-12-31,1.00,1.00,0.96,0.98,408000,0.98
2013-12-30,0.91,1.00,0.90,1.00,2358000,1.00
2013-12-27,0.90,0.91,0.88,0.91,234000,0.91
2013-12-26,0.86,0.86,0.86,0.86,000,0.86
2013-12-25,0.86,0.86,0.86,0.86,000,0.86
2013-12-24,0.86,0.90,0.86,0.86,517200,0.86
2013-12-23,0.91,0.91,0.86,0.86,366000,0.86
2013-12-20,0.90,0.93,0.90,0.90,238800,0.90
2013-12-19,0.91,0.94,0.90,0.91,757200,0.91
2013-12-18,0.91,0.94,0.91,0.91,276000,0.91
2013-12-17,0.91,0.94,0.90,0.90,940800,0.90
2013-12-16,0.94,0.94,0.90,0.91,738000,0.91
2013-12-13,0.96,0.99,0.94,0.94,1206000,0.94
2013-12-12,0.95,0.98,0.95,0.98,204000,0.98
2013-12-11,0.99,0.99,0.95,0.95,1158000,0.95
2013-12-10,0.96,1.01,0.96,0.99,396000,0.99
2013-12-09,0.98,1.02,0.96,0.97,1350000,0.97
2013-12-06,1.00,1.02,0.98,0.99,1428000,0.99
2013-12-05,0.99,1.00,0.97,1.00,163200,1.00
2013-12-04,0.99,1.00,0.95,1.00,726000,1.00
2013-12-03,1.05,1.05,0.98,0.99,2806000,0.99
2013-12-02,1.07,1.08,1.05,1.06,642000,1.06
2013-11-29,1.08,1.12,1.06,1.06,1194500,1.06
2013-11-28,1.07,1.12,1.03,1.05,932400,1.05
2013-11-27,1.06,1.11,1.02,1.07,1044000,1.07
2013-11-26,1.07,1.10,1.06,1.08,1062800,1.08
2013-11-25,1.19,1.20,1.08,1.10,3483000,1.10
2013-11-22,1.19,1.24,1.19,1.20,2496600,1.20
2013-11-21,1.14,1.20,1.12,1.19,2727000,1.19
2013-11-20,1.11,1.16,1.10,1.16,3357600,1.16
2013-11-19,1.06,1.11,1.06,1.11,4045100,1.11
2013-11-18,1.05,1.08,1.04,1.06,1226300,1.06
